state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S114,106,Kuttanad,കുട്ടനാട്,Alappuzha,South Keralam,Q16135972,REJI CHERIYAN,Kerala Congress,THOMAS K. THOMAS,Nationalist Congress Party - Sharadchandra Pawar,3902,4/13,Result in Progress,2026-05-04 11:37:53
S114,21,Kuttiady,കുറ്റ്യാടി,Kozhikode,North Keralam,Q16136660,PARAKKAL ABDULLA,Indian Union Muslim League,K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),2503,7/16,Result in Progress,2026-05-04 11:37:53
S114,55,Malampuzha,മലമ്പുഴ,Palakkad,Centeral Keralam,Q16135283,A PRABHAKARAN,Communist,C KRISHNAKUMAR,Bharatiya Janata Party,10056,8/14,Result in Progress,2026-05-04 11:37:53
S114,40,Malappuram,മലപ്പുറം,Malappuram,North Keralam,Q16135164,P.K KUNHALIKUTTY,Indian Union Muslim League,K.T. MUJEEB RAHMAN,Nationalist Congress Party - Sharadchandra Pawar,21895,6/25,Result in Progress,2026-05-04 11:37:53
S114,64,Manalur,മണലൂർ,Thrissur,Centeral Keralam,Q6746846,PROF C RAVINDRANATH,Communist,T N PRATHAPAN,Indian National Congress,378,4/17,Result in Progress,2026-05-04 11:37:53
S114,17,Mananthavady,മാനന്തവാടി,Wayanad,North Keralam,Q16136061,O R KELU,Communist,USHA VIJAYAN,Indian National Congress,1917,8/17,Result in Progress,2026-05-04 11:37:53
S114,37,Manjeri,മഞ്ചേരി,Malappuram,North Keralam,Q13113783,ADV. M. RAHMATHULLA,Indian Union Muslim League,V.M. MUSTHAFA,Independent,15511,6/20,Result in Progress,2026-05-04 11:37:53
S114,1,Manjeshwaram,മഞ്ചേശ്വരം,Kasaragod,North Keralam,Q13113782,A K M ASHRAF,Indian Union Muslim League,K SURENDRAN,Bharatiya Janata Party,10406,5/17,Result in Progress,2026-05-04 11:37:53
S114,39,Mankada,മങ്കട,Malappuram,North Keralam,Q13113774,MANJALAMKUZHI ALI,Indian Union Muslim League,KUNNATH MOHAMED S/O ALI HAJI,Independent,23954,8/22,Result in Progress,2026-05-04 11:37:53
S114,54,Mannarkkad,മണ്ണാർക്കാട്,Palakkad,Centeral Keralam,Q13113828,ADV. N. SAMSUDHEEN,Indian Union Muslim League,MANZIL ABOOBACKER,Communist Party of India,15448,5/12,Result in Progress,2026-05-04 11:37:53
S114,15,Mattanur,മട്ടന്നൂർ,Kannur,North Keralam,Q16134425,V K SANOJ,Communist,CHANDRAN THILLANKERI,Indian National Congress,587,6/15,Result in Progress,2026-05-04 11:37:53
S114,109,Mavelikara,മാവേലിക്കര,Alappuzha,South Keralam,Q16136384,M.S. ARUN KUMAR,Communist,ADV. MUTHARA RAJ,Indian National Congress,5859,7/17,Result in Progress,2026-05-04 11:37:53
S115,86,Muvattupuzha,മൂവാറ്റുപുഴ,Ernakulam,Centeral Keralam,Q16137625,DR. MATHEW KUZHALNADAN,Indian National Congress,N ARUN,Communist Party of India,17800,7/15,Result in Progress,2026-05-04 11:37:53
S115,22,Nadapuram,നാദാപുരം,Kozhikode,North Keralam,Q13112855,K.M. ABHIJITH,Indian National Congress,ADV.P. VASANTHAM,Communist Party of India,6054,5/19,Result in Progress,2026-05-04 11:37:53
S115,68,Nattika,നാട്ടിക,Thrissur,Centeral Keralam,Q6980360,GEETHAGOPI,Communist,ADV. SUNIL LALOOR,Indian National Congress,3566,8/17,Result in Progress,2026-05-04 11:37:53
S115,130,Nedumangad,നെടുമങ്ങാട്,Thiruvananthapuram,South Keralam,Q16136140,G R ANIL,Communist,MEENANKAL KUMAR,Indian National Congress,5311,6/18,Result in Progress,2026-05-04 11:37:53
S115,59,Nenmara,നെന്മാറ,Palakkad,Centeral Keralam,Q13112978,K PREMAN,Communist,A. THANKAPPAN,Indian National Congress,1527,6/15,Result in Progress,2026-05-04 11:37:53
